,Make,Model,2016,2017,2018,2019,2020,2021,January_2022,February_2022,March_2022,April_2022,May_2022,June_2022,2022,Ex-Showroom_Price,Displacement_in_cc,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity_in_litres,Fuel_Type,Height_in_mm,Length_in_mm,Width_in_mm,Body_Type,Doors,City_Mileage_in_km_per_litre,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range_in_km_per_full_charge,Max_Power_in_hp,Max_Torque_in_Nm
682,Maruti Suzuki,Ciaz,430.71,183.87,979.9,1024.01,244.22,455.9,127.97,184.84,33.51,233.43,115.96,10.8,706.51,1102689.0,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43.0,Diesel,1485.0,4490.0,1730.0,Sedan,4,28.09,,28.09 km/litre,,1105 kg,5,170 mm,Ventilated Disc,Drum,McPherson,Torsion Beam,,,195/55R16,195/55R16,Electric Power,All Windows,,Remote,Digital,Analog,Analog,2,5.0,Leather,Manual,2650 mm,195/55R16,Yes,Yes,USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,"Internal, With Remote",510 litres,,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,5.4 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1590 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,Yes,,Cup Holders,,Yes,,,,Yes,Yes,,,Yes,Yes,,,Yes,,,,,,90.23,200.0
696,Maruti Suzuki,Dzire,263.73,1264.4,624.05,133.95,302.05,4.35,210.28,181.56,174.68,16.22,21.22,192.02,795.98,582613.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37.0,Petrol,1515.0,3995.0,1735.0,Sedan,4,16.3,,22 km/litre,,860 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,165/80R14,165/80R14,Electric Power,,,,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2450 mm,165/80R14,,Yes,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,378 litres,,,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,Yes,Yes,Front Row,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,11.0:1,Rake,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,83.15,115.0
710,Maruti Suzuki,Dzire Tour,343.8,207.19,980.69,709.31,566.03,212.84,82.92,9.55,44.77,171.96,209.53,234.78,753.51,653523.0,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,42.0,Diesel,1555.0,3995.0,1695.0,Sedan,4,14.6,19.8,28.4 km/litre,,1045 kg,,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,1485 mm,1495 mm,165/80R14,165/80R14,Electric Power,Only Front Windows,,Remote,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2430 mm,165/80R14,,Yes,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,With Remote,320 litres,,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,Front Row,1505 kg,,Yes,,Yes,,,17.6:1,Rake,,,,Yes,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,73.97,190.0
713,Maruti Suzuki,Eeco,173.0,1227.21,713.01,1229.48,979.61,598.56,67.23,209.26,88.21,249.79,248.95,192.79,1056.23,352136.0,1196.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40.0,Petrol,1800.0,3675.0,1475.0,MPV,5,12.0,15.0,15 km/litre,,920 kg,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1280 mm,1290 mm,155 R13 LT,155 R13 LT,,,,,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2350 mm,155 R13 LT,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,400 litres,,,Yes,,Not on offer,,,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Digital,Manual,Analog + Digital,Yes,4.5 meter,Yes,Driver & Front Passenger,,,Yes,,,,,,Normal,,Yes,,Yes,,,,Yes,,,1510 kg,Driver frontal airbag,,Yes,,,1.0,9.9,Rake,,Rear Reading Lamp,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,101.0
718,Maruti Suzuki,Ertiga,541.92,144.84,462.92,1193.11,77.51,1157.36,89.12,26.92,6.99,36.45,215.55,179.83,554.86,759000.0,1462.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,45.0,Petrol,1690.0,4395.0,1735.0,MPV,5,,,19.34 km/litre,,1135 kg,5,185 mm,Ventilated Disc,Drum,McPherson strut & coil spring,Torsion beam & coil spring,,,185/65R15,185/65R15,Electric Power,,,,Digital,Analog,Not on offer,Yes,7.0,Fabric,Manual,2740 mm,185/65R15,,Yes,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,209 litres,,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Analog,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver Only,,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1760 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,10.5:1,Rake,,,Rear sensors,Yes,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,104.43,138.0
728,Maruti Suzuki,Gypsy,897.1,401.66,14.19,858.43,506.38,185.29,58.22,181.24,9.35,195.02,102.4,224.08,770.31,637343.0,1298.0,4.0,4.0,4WD,In-line,BS III,"Front, Transverse",Injection,40.0,Petrol,1875.0,4010.0,1540.0,SUV,3,10.2,14.8,11.9 km/litre,,985 kg,5,210 mm,Solid Disc,Drum,Leaf spring with Double action damper,Leaf spring with Double action damper,1300 mm,1310 mm,205/70,205/70,,,,,Yes,Analog,Not on offer,,8.0,Fabric,Manual,2375 mm,R15,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Manual,350 litres,,,,,Not on offer,,Front & Rear,,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Analog,Manual,Analog + Digital,,5.1 meter,Yes,Co-Driver Only,Not Applicable,,,,,,,,,,,,,,,,,,,1585 kg,,,,,,,9.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.91,103.0
730,Maruti Suzuki,Ignis,502.35,1138.28,740.78,1024.01,1054.04,1010.87,49.64,77.16,12.4,78.32,22.32,235.41,475.25,713898.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,32.0,Petrol,1595.0,3700.0,1690.0,Hatchback,5,20.89,,20.89 km/litre,,860 kg,,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,175/65R 15,175/65R 15,Electric Power,All Windows,,Remote,Analog,Analog,Yes,Yes,5.0,Fabric,AMT,2435 mm,175/65R 15,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,260 litres,Yes,Yes,Yes,Digital,Yes,,Front & Rear,Yes,,Yes,Internal,Analog,Manual,Analog,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,"Heater, Fully automatic climate control",,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Second Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Rear sensors with camera,Yes,Yes,,,Yes,Yes,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,,,,,,,,Yes,Yes,,,,,,,,,,,,81.86,113.0
737,Maruti Suzuki,Omni,986.01,396.37,827.99,533.61,158.53,899.21,208.05,11.93,165.62,135.14,25.44,176.69,722.87,282778.0,796.0,3.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,35.0,Petrol,1640.0,3370.0,1410.0,MPV,5,13.0,14.7,16.8 km/litre,,785 kg,4,165 mm,Solid Disc,Drum,McPherson Strut,Leaf spring with Shock absorbers,1205 mm,1190 mm,145R 12 LT 6PR,145R 12 LT 6PR,,,,,Analog,Analog,Not on offer,,5.0,Fabric,Manual,1840 mm,R12,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,525 litres,,,Yes,,Front,,Front & Rear,,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Analog,Manual,Analog + Digital,,4.1 meter,Yes,Co-Driver Only,Not Applicable,,,,,,,,,,,,,,,,,,Yes,NA kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.23,59.0
739,Maruti Suzuki R,Wagon,1257.6,1100.84,82.63,520.64,243.54,550.42,155.33,36.03,37.17,236.62,30.02,133.76,628.93,479000.0,998.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,32.0,Petrol,1675.0,3655.0,1620.0,Hatchback,5,,,22.5 km/litre,,,5,,Ventilated Disc,Drum,Mc Pherson Strut with coil spring,Torsion Beam link with coil spring,,,165/70R14,165/70R14,Electric Power,All Windows,,Remote,Digital,Analog,Analog,2,5.0,Fabric,Manual,,165/70R14,,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,341 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Driver frontal airbag,,Yes,Yes,Yes,1.0,,Rake,,,Rear sensors,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.07,90.0
753,Maruti Suzuki,S-Cross,154.63,828.91,1088.65,896.1,895.89,24.68,143.33,35.21,56.45,105.33,186.22,121.52,648.06,880689.0,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,48.0,Diesel,1595.0,4300.0,1785.0,Crossover,5,23.65,,23.65 km/litre,,1215 kg,5,180 mm,Ventilated Disc,Drum,Mc Pherson Strut with coil spring,Torsion beam with coil spring,,,205/55 R16,205/55 R16,Electric Power,All Windows,,Remote,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2600 mm,205/55 R16,,Yes,,,Yes,,,Internal,375 litres,,Yes,Yes,Digital,Front,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,5.5 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1670 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,,Rake,,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,88.77,200.0
757,Maruti Suzuki,S-Presso,1017.77,718.58,415.05,2.96,1247.28,1212.0,249.48,230.45,233.31,138.07,32.41,230.9,1114.62,370500.0,998.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27.0,Petrol,1549.0,3565.0,1520.0,Hatchback,5,,,21.4 km/litre,,726 kg,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,,,145/80 R13,145/80 R13,,,,,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2380 mm,145/80 R13,,,Not on offer,,,,,Internal,,,,Yes,,Not on offer,,,,,,Internal,Analog,Manual,Analog,Yes,4.5 meter,Yes,,,,Yes,,,,,,Normal,Yes,Yes,,Yes,,,,Yes,,,1170 kg,Driver frontal airbag,Yes,Yes,,,1.0,11.0:1,,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.08,90.0
767,Maruti Suzuki,Swift,1091.25,727.65,176.12,396.84,322.42,36.27,177.72,229.38,72.52,14.65,122.43,33.88,650.58,519000.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37.0,Petrol,1530.0,3840.0,1735.0,Hatchback,5,12.6,17.0,20.4 km/litre,,855 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,1530 mm,1530 mm,165/80 R14,165/80 R14,Electric Power,,,,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2450 mm,165/80 R14,,Yes,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,With Remote,268 litres,,,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,11.0:1,Rake,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,81.86,113.0
781,Maruti Suzuki,Vitara Brezza,1148.61,83.24,359.33,591.81,1025.76,835.69,215.35,146.5,185.27,233.35,156.48,229.2,1166.15,762742.0,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,48.0,Diesel,1640.0,3995.0,1790.0,SUV,5,20.0,24.3,24.3 km/litre,,1170 kg,5,198 mm,Ventilated Disc,Drum,McPherson strut with coil spring,Torsion beam with coil spring,,,205/60R16,205/60R16,Electric Power,Only Front Windows,,,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2500 mm,205/60R16,,,CD Player with USB & Aux-in,Yes,,,Yes,Internal,328 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,,Yes,All Rows,1680 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,,,2.0,,Rake,,,,Yes,Yes,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,88.77,200.0
790,Maruti Suzuki,Xl6,1154.63,733.83,534.2,417.56,645.27,1025.08,184.89,128.09,51.76,17.36,31.66,130.45,544.21,984689.0,1462.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,45.0,Petrol,1700.0,4445.0,1775.0,MPV,5,,,19.01 km/litre,,1180 kg,5,,Ventilated Disc,Drum,McPherson strut & coil spring,Torsion beam & coil spring,,,185/65 R15,185/65 R15,Electric Power,All Windows,,Smart Key,Digital,"Analog, Digital","Analog, Digital",2,6.0,Fabric,Manual,2740 mm,185/65 R15,Yes,2,CD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,209 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,Yes,Normal,Yes,,,,,Yes,Yes,Yes,Yes,All Rows,1730 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,2.0,74.0x85.0,Rake,,,Rear sensors with camera,,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,,,,Yes,,,Yes,Yes,,,,,,,Yes,,,,,,102.58,138.0
794,Maserati,Ghibli,884.73,1008.81,639.96,586.17,202.5,260.15,95.71,8.0,190.88,76.8,190.23,45.43,607.05,13387856.0,2987.0,6.0,4.0,,V,BS IV,,Injection,70.0,Diesel,1461.0,4971.0,2100.0,,4,,,,,1810 kg,8,,,,,,1635 mm,1653 mm,,,Yes,,Yes,Smart Key,,,,,5.0,,Automatic,2998 mm,,Yes,,,Yes,,3 years / Unlimited Kms,Yes,Internal,500 litres,Yes,,,Digital,Yes,,Yes,,3 Years/Unlimited km Warranty*,Yes,Internal,,,Analog + Digital,,5.85 meter,Yes,Driver & Front Passenger,,"Fully automatic climate control, 4 Zone climate control",,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Touch Sensitive,Yes,,,Electric Adjustment with Memory,Yes,,,,Yes,,Yes,,,,,,Yes,Yes,,,,Yes,,,,,,271.24,570.0
797,Maserati,Grancabrio,885.17,1018.69,118.09,1219.04,798.86,150.37,49.14,248.37,241.75,123.26,219.67,196.86,1079.05,19865675.0,4691.0,8.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,75.0,Petrol,1353.0,4881.0,2056.0,Convertible,2,4.0,6.0,9.8 km/litre,,1980 kg,6,128 mm,Ventilated Disc,Ventilated Disc,Quattroporte Sport GT S is fitted with the single-setting racing-style suspension system,Quattroporte Sport GT S is fitted with the single-setting racing-style suspension system,1586 mm,1590 mm,245/40R20,285/35 R20,Electro-Hydraulic,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,2942 mm,R20,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,173 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,12/24 months/ up to100000 Kms (years/distance whichever comes first),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,6.1 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,2350 kg,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Drive side airbag",Yes,Yes,Yes,Yes,4.0,11:1,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,443.84,510.0
798,Maserati,Granturismo,966.95,639.82,271.77,570.64,505.02,355.78,132.43,49.46,52.19,80.63,249.59,90.28,654.58,17229579.0,4691.0,8.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,86.0,Petrol,1353.0,4881.0,1915.0,Coupe,2,4.6,5.0,10 km/litre,,1880 kg,6,100 mm,Ventilated Disc,Ventilated Disc,Double wishbone suspension,Double wishbone suspension,1586 mm,1590 mm,245/35ZR20,285/35ZR20,Electro-Hydraulic,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,2942 mm,ZR20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,261 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,12/24 months/ up to100000 Kms (years/distance whichever comes first),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,10.7 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,2250 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6.0,11:25:1,"Rake, Reach",,,Yes,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,453.71,520.0
799,Maserati,Levante,442.22,955.72,370.31,716.43,124.82,616.37,214.98,241.18,183.97,202.93,119.96,166.64,1129.66,14512054.0,2987.0,6.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,80.0,Diesel,1679.0,5003.0,2158.0,SUV,4,5.2,6.2,7.9 km/litre,,,6,,Ventilated Disc,Ventilated Disc,Double wishbone coil springs with stabilizer bar,Double Wishbone Type With Coil Springs & Anti-Roll Bar,1624 mm,1676 mm,255/60 ZR18,255/60 ZR18,Electro-Hydraulic,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,3004 mm,255/60 ZR18,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,580 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,12/24 months/ up to100000 Kms (years/distance whichever comes first),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,2205 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6.0,16.5:1,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,271.24,600.0
802,Maserati,Quattroporte,703.13,1120.34,1130.17,124.55,317.82,357.92,114.31,225.03,147.97,4.69,6.87,225.32,724.19,17900000.0,2987.0,6.0,4.0,RWD (Rear Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,70.0,Diesel,1481.0,5262.0,1948.0,Sports,4,5.2,6.2,7.9 km/litre,,1925 kg,6,100 mm,Ventilated Disc,Ventilated Disc,Double wishbone coil springs with stabilizer bar,Double Wishbone Type With Coil Springs & Anti-Roll Bar,1634 mm,1647 mm,245/45R19,275/40 R19,Electro-Hydraulic,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,3171 mm,R19,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,530 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,12/24 months/ up to100000 Kms (years/distance whichever comes first),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11.8 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6.0,16.5:1,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,271.24,600.0
803,Mercedes-Benz,A-Class,377.83,569.63,682.68,1249.66,928.29,1078.71,146.21,52.9,170.04,124.25,202.37,181.53,877.3,2785288.0,1595.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Petrol,1433.0,4292.0,1780.0,Hatchback,5,12.03,15.5,15.5 km/litre,,1395 kg,7,160 mm,Ventilated Disc,Ventilated Disc,MacPherson Strut,Torsion Beam,1553 mm,1552 mm,205/55R16,205/55R16,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2699 mm,205/55R16,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",341 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.5 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1920 kg,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,,,Yes,Cup Holders,Yes,Yes,,,Only front,,,,,Yes,,,Yes,Yes,,,,,,120.33,200.0
